age_group,canton,cases,date,fatalities,sex
20 - 29,FL,0,2020-02-24,0,9
20 - 29,FR,0,2020-02-24,0,9
20 - 29,GE,0,2020-02-24,0,9
20 - 29,GL,0,2020-02-24,0,9
20 - 29,GR,0,2020-02-24,0,9
20 - 29,JU,0,2020-02-24,0,9
20 - 29,LU,0,2020-02-24,0,9
20 - 29,NE,0,2020-02-24,0,9
20 - 29,NW,0,2020-02-24,0,9
20 - 29,OW,0,2020-02-24,0,9
20 - 29,SG,0,2020-02-24,0,9
20 - 29,SH,0,2020-02-24,0,9
20 - 29,SO,0,2020-02-24,0,9
20 - 29,SZ,0,2020-02-24,0,9
20 - 29,TG,0,2020-02-24,0,9
20 - 29,TI,0,2020-02-24,0,9
20 - 29,UR,0,2020-02-24,0,9
20 - 29,VD,0,2020-02-24,0,9
20 - 29,VS,0,2020-02-24,0,9
20 - 29,ZG,0,2020-02-24,0,9
20 - 29,ZH,0,2020-02-24,0,9
30 - 39,AG,0,2020-02-24,0,9
30 - 39,AI,0,2020-02-24,0,9
30 - 39,AR,0,2020-02-24,0,9
30 - 39,BE,0,2020-02-24,0,9
30 - 39,BL,0,2020-02-24,0,9
30 - 39,BS,0,2020-02-24,0,9
30 - 39,FL,0,2020-02-24,0,9
30 - 39,FR,0,2020-02-24,0,9
30 - 39,GE,0,2020-02-24,0,9
30 - 39,GL,0,2020-02-24,0,9
30 - 39,GR,0,2020-02-24,0,9
